Bedrooms,Bathrooms,Area_sqm,Price_monthly,Price_annualy,Furnished,Pool,Floor,Floor_type,Location,Description,Specialities
2,1,63.0,,,1,0,طابق أول,Normal,"ام اذينة,  عمان,  الأردن",غرفة نوم عدد 2 - حمام - غرفة معيشه - مطبخ - مخزن - كراج,"السعر: 9,000 دينار اردني سنوي"
3,3,175.0,,,1,0,طابق ثاني,Normal,"الدوار الخامس,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - 3 حمامات - صالون - غرفة معيشه - مطبخ - بلكونة - غرفة خادمة وغرفة غسيل - مخزن - كراج,مطبخ راكب - ارضيات بورسلان + رخام - تكييف وحدات - تدفئة تحت البلاط على الغاز- ابواب امان - كاميرات مراقبة - ديكورات جبصين - حمامات معلقة - اباجورات كهربائية - شاور بوكس - موقد - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
1,1,85.0,,,1,0,طابق ثاني,Normal,"دير غبار,  عمان,  الأردن",غرفة نوم - حمام - غرفة معيشة - كراج,"السعر: 8,500 دينار اردني سنويا"
2,2,110.0,,,1,0,تسوية أولى,,"صويفية,  عمان,  الأردن",2 غرف نوم (1 ماستر) - 2 حمامات - غرفة معيشة - كراج,مطبخ راكب - ارضيات رخام + بورسلان - تكييف وحدات - خزائن بالحائط - زجاج دبل - كاميرات مراقبة - ابواب امان - ديكورات جبصين - حمامات معلقة - اباجورات كهرباء - شاور بوكس - بئر ماء - مصعد - انارة مخفية -تشطيبات سوبر ديلوكس
3,3,169.0,,,1,0,طابق أرضي,Normal,"قرية النخيل,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - حمامات عدد 3 - صالون - غرفة معيشه - مطبخ - مخزن - ترس - كراج - مدخل عدد 2,أرضيات بورسلان - وحدات تكييف - تدفئة على الغاز - مطبخ راكب - ديكورات جبصين - حمامات معلقة - اباجورات كهربائية - شاور بوكس - مصعد - ابواب امان - كاميرات مراقبة - إنارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
2,2,140.0,,,0,0,طابق أول,Normal,"عبدون,  عمان,  الأردن",2 غرف نوم - 2 حمامات - غرفة معيشة - مطبخ - بلكونة - كراج,ارضيات بورسلان - تكييف مركزي - مطبخ راكب - خزائن بالحائط - ابواب امان - ديكورات جبصين + خشبية - حمامات معلقة - اباجورات كهربائية - شاور بوكس - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
4,5,290.0,,,0,0,طابق أرضي,Normal,"دير غبار,  عمان,  الأردن",4 غرف نوم (2 ماستر) - 5 حمامات ndash; صالون ndash; 2 غرفة معيشه - مطبخ ndash; ترس - بلكونة - كراج - 4 مدخل,
3,3,170.0,,,1,0,طابق ثالث,Normal,"الدوار السابع,  عمان,  الأردن",3 غرف نوم (ماستر1) - 3 حمامات - غرفة معيشة - صالون - بلكونة - مخزن - غرفة خادمة وغرفة غسيل - كراج,تكييف وحدات - تدفئة على الغاز - زجاج دبل - ديكورات جبصين - خزائن بالحائط - مصعد - شاور بوكس - انارة مخفية - ابواب امان - انارة مخفية - تشطيبات سوبر ديلوكس - تقع في منطقة هادئة
2,3,185.0,,,1,0,طابق أرضي,Normal,"خلدا,  عمان,  الأردن",2 غرف نوم (1 ماستر) - 3 حمامات - غرفة معيشة - صالون - مطبخ - غرفة غسيل - مخزن - ترس - كراج,"السعر: 15,000 دينار اردني سنويا"
3,3,155.0,,,0,0,طابق أول,Normal,"الشميساني,  عمان,  الأردن",3 غرف نوم (1 ماستر) - 3 حمامات - صالون - غرفة معيشه - صالون - بلكونة - مخزن - كراج,ارضيات بورسلان - تكييف وحدات - تدفئة على الغاز - ديكورات جبصين + خشبية - اباجورات كهربائية - شاور بوكس - موقد - بئر ماء - مصعد - ابواب امان - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
